pit_duration,lap_number,driver_number,date,session_key,meeting_key
316.9,12.0,81,2024-09-14T12:36:44.570000+00:00,9594,1245
283.7,12.0,1,2024-09-14T12:37:01.303000+00:00,9594,1245
437.1,15.0,63,2024-09-14T12:48:58.214000+00:00,9594,1245
424.4,17.0,44,2024-09-14T12:49:01.696000+00:00,9594,1245
491.5,14.0,81,2024-09-14T12:49:06.112000+00:00,9594,1245
446.1,15.0,16,2024-09-14T12:49:08.855000+00:00,9594,1245
457.1,18.0,55,2024-09-14T12:49:10.790000+00:00,9594,1245
405.8,14.0,14,2024-09-14T12:49:18.990000+00:00,9594,1245
414.4,15.0,1,2024-09-14T12:49:30.241000+00:00,9594,1245
472.8,15.0,23,2024-09-14T12:49:37.493000+00:00,9594,1245
453.8,15.0,43,2024-09-14T12:49:42.043000+00:00,9594,1245
1048.1,10.0,11,2024-09-14T12:49:51.761000+00:00,9594,1245
101.5,18.0,63,2024-09-14T12:56:26.586000+00:00,9594,1245
102.6,20.0,44,2024-09-14T12:56:30.936000+00:00,9594,1245
95.0,17.0,81,2024-09-14T12:56:34.331000+00:00,9594,1245
74.3,18.0,23,2024-09-14T12:56:35.456000+00:00,9594,1245
85.8,21.0,55,2024-09-14T12:56:37.549000+00:00,9594,1245
100.7,18.0,16,2024-09-14T12:56:42.066000+00:00,9594,1245
101.5,17.0,14,2024-09-14T12:56:54.757000+00:00,9594,1245
88.1,18.0,43,2024-09-14T12:56:59.042000+00:00,9594,1245
133.7,18.0,1,2024-09-14T12:57:31.143000+00:00,9594,1245
113.2,13.0,11,2024-09-14T12:57:38.240000+00:00,9594,1245
21.1,1.0,18,2024-09-15T11:06:42.160000+00:00,9598,1245
20.5,10.0,43,2024-09-15T11:23:01.011000+00:00,9598,1245
20.0,11.0,14,2024-09-15T11:24:48.471000+00:00,9598,1245
20.0,11.0,77,2024-09-15T11:25:22.131000+00:00,9598,1245
21.1,12.0,1,2024-09-15T11:26:32.458000+00:00,9598,1245
19.9,12.0,63,2024-09-15T11:26:35.450000+00:00,9598,1245
21.2,12.0,44,2024-09-15T11:26:55.973000+00:00,9598,1245
20.9,12.0,22,2024-09-15T11:27:15.657000+00:00,9598,1245
20.6,13.0,11,2024-09-15T11:28:13.148000+00:00,9598,1245
21.2,14.0,50,2024-09-15T11:30:31.510000+00:00,9598,1245
20.1,15.0,81,2024-09-15T11:31:49.530000+00:00,9598,1245
21.6,15.0,27,2024-09-15T11:32:19.677000+00:00,9598,1245
20.6,16.0,16,2024-09-15T11:33:34.615000+00:00,9598,1245
21.4,17.0,55,2024-09-15T11:35:33.370000+00:00,9598,1245
20.2,22.0,18,2024-09-15T11:45:38.278000+00:00,9598,1245
20.2,31.0,23,2024-09-15T12:01:15.716000+00:00,9598,1245
20.5,34.0,24,2024-09-15T12:07:33.526000+00:00,9598,1245
19.7,37.0,4,2024-09-15T12:12:01.387000+00:00,9598,1245
20.7,49.0,1,2024-09-15T12:33:34.735000+00:00,9598,1245
21.9,49.0,3,2024-09-15T12:34:35.128000+00:00,9598,1245
20.6,49.0,31,2024-09-15T12:35:03.839000+00:00,9598,1245
20.2,50.0,10,2024-09-15T12:36:40.927000+00:00,9598,1245
,1.0,3,2024-09-20T09:30:03.623000+00:00,9599,1246
,1.0,24,2024-09-20T09:30:08.484000+00:00,9599,1246
,1.0,77,2024-09-20T09:30:12.806000+00:00,9599,1246
,1.0,63,2024-09-20T09:30:15.674000+00:00,9599,1246
,1.0,22,2024-09-20T09:30:19.506000+00:00,9599,1246
,1.0,44,2024-09-20T09:30:21.636000+00:00,9599,1246
,1.0,16,2024-09-20T09:30:26.710000+00:00,9599,1246
,1.0,11,2024-09-20T09:30:36.774000+00:00,9599,1246
,1.0,31,2024-09-20T09:30:46.813000+00:00,9599,1246
