brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2024-02-29T15:03:00.613000+00:00,10,12,1229,8,11215,9466,314,100
0,2024-03-01T13:03:11.471000+00:00,10,12,1229,8,11079,9466,310,100
0,2024-03-01T13:21:47.515000+00:00,10,12,1229,8,10645,9466,300,50
0,2024-03-01T13:27:31.436000+00:00,10,12,1229,8,10954,9466,307,100
0,2024-02-29T15:29:12.578000+00:00,10,12,1229,8,10780,9466,303,100
0,2024-02-29T15:03:52.093000+00:00,10,12,1229,8,10830,9466,302,100
0,2024-02-29T15:33:53.859000+00:00,10,12,1229,8,11097,9466,310,100
0,2024-02-29T15:08:53.414000+00:00,10,12,1229,8,11030,9466,309,100
0,2024-02-29T15:59:04.464000+00:00,11,8,1229,8,10749,9466,302,100
0,2024-03-01T12:54:20.750000+00:00,11,12,1229,8,11006,9466,310,100
0,2024-02-29T15:25:59.137000+00:00,11,12,1229,8,11060,9466,312,100
0,2024-03-01T13:18:37.915000+00:00,11,12,1229,8,10812,9466,305,100
0,2024-02-29T15:59:05.904000+00:00,11,8,1229,8,10756,9466,302,100
